"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HDFCBANK","EQ","29-Aug-2023","1,577.75","1,589.70","1,592.65","1,581.45","1,591.25","1,590.30","1,588.37","1,77,69,466","28,22,44,20,149.05","3,41,561","92,26,802","51.93"
"HDFCBANK","EQ","30-Aug-2023","1,590.30","1,603.95","1,603.95","1,573.70","1,579.00","1,578.70","1,589.56","1,40,42,102","22,32,07,81,696.10","2,97,743","74,65,190","53.16"
"HDFCBANK","EQ","31-Aug-2023","1,578.70","1,579.00","1,583.15","1,563.10","1,577.00","1,571.45","1,570.99","5,00,37,886","78,60,89,31,136.20","4,19,748","2,73,44,438","54.65"
"HDFCBANK","EQ","01-Sep-2023","1,571.45","1,571.00","1,579.00","1,559.35","1,573.75","1,574.70","1,569.33","2,16,13,388","33,91,85,08,405.30","4,50,304","1,17,12,682","54.19"
"HDFCBANK","EQ","04-Sep-2023","1,574.70","1,590.00","1,591.45","1,574.90","1,584.50","1,584.55","1,582.03","1,25,36,819","19,83,36,66,505.30","2,36,702","68,78,890","54.87"
"HDFCBANK","EQ","05-Sep-2023","1,584.55","1,588.40","1,588.40","1,570.60","1,575.00","1,574.90","1,576.27","1,93,56,041","30,51,03,14,620.10","4,07,651","73,19,213","37.81"
"HDFCBANK","EQ","06-Sep-2023","1,574.90","1,576.80","1,600.00","1,574.90","1,599.00","1,595.50","1,588.41","2,81,60,455","44,73,03,93,184.30","3,94,705","1,02,22,093","36.30"
"HDFCBANK","EQ","07-Sep-2023","1,595.50","1,595.50","1,614.00","1,587.15","1,611.00","1,610.85","1,601.67","1,71,04,171","27,39,52,55,131.15","2,82,493","63,02,758","36.85"
"HDFCBANK","EQ","08-Sep-2023","1,610.85","1,608.30","1,632.90","1,607.60","1,623.20","1,623.40","1,619.68","1,72,51,105","27,94,12,56,455.40","2,63,597","70,88,173","41.09"
"HDFCBANK","EQ","11-Sep-2023","1,623.40","1,628.90","1,636.50","1,624.00","1,633.00","1,631.80","1,631.32","1,57,86,511","25,75,28,84,037.25","2,90,843","1,17,94,625","74.71"
"HDFCBANK","EQ","12-Sep-2023","1,631.80","1,640.00","1,642.90","1,625.05","1,636.00","1,636.90","1,635.47","1,95,16,670","31,91,89,59,857.45","3,10,906","84,20,128","43.14"
"HDFCBANK","EQ","13-Sep-2023","1,636.90","1,631.30","1,651.60","1,628.60","1,641.60","1,643.90","1,643.76","2,32,10,047","38,15,17,41,645.90","3,53,522","1,09,13,856","47.02"
"HDFCBANK","EQ","14-Sep-2023","1,643.90","1,644.25","1,650.00","1,635.10","1,643.00","1,642.90","1,642.38","1,17,69,424","19,32,98,82,409.25","2,69,108","45,94,361","39.04"
"HDFCBANK","EQ","15-Sep-2023","1,642.90","1,650.00","1,670.00","1,650.00","1,657.00","1,661.75","1,660.63","8,67,05,601","1,43,98,61,31,583.85","4,85,971","6,21,76,243","71.71"
"HDFCBANK","EQ","18-Sep-2023","1,661.75","1,653.75","1,655.00","1,626.10","1,629.65","1,629.05","1,636.50","1,85,28,144","30,32,12,24,693.30","2,92,658","76,32,991","41.20"
"HDFCBANK","EQ","20-Sep-2023","1,629.05","1,599.00","1,599.00","1,560.40","1,566.00","1,563.70","1,570.63","5,77,37,324","90,68,40,80,075.60","9,77,717","3,52,68,822","61.08"
"HDFCBANK","EQ","21-Sep-2023","1,563.70","1,553.00","1,568.95","1,537.05","1,554.50","1,553.35","1,555.34","3,64,20,721","56,64,66,57,569.55","6,14,240","2,04,39,570","56.12"
"HDFCBANK","EQ","22-Sep-2023","1,553.35","1,559.00","1,564.40","1,523.75","1,530.20","1,529.65","1,544.59","3,08,52,125","47,65,39,55,740.50","5,48,206","2,04,33,576","66.23"
"HDFCBANK","EQ","25-Sep-2023","1,529.65","1,525.00","1,540.70","1,525.00","1,528.90","1,531.00","1,533.28","2,01,04,377","30,82,57,20,275.30","3,38,863","1,42,95,701","71.11"
