"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"LT","EQ","29-Aug-2023","2,695.35","2,710.00","2,722.10","2,696.30","2,716.95","2,718.95","2,710.46","11,01,830","2,98,64,64,903.55","75,845","6,35,263","57.66"
"LT","EQ","30-Aug-2023","2,718.95","2,722.95","2,737.65","2,707.00","2,710.80","2,709.00","2,728.50","19,20,079","5,23,89,30,029.50","86,352","14,59,615","76.02"
"LT","EQ","31-Aug-2023","2,709.00","2,720.00","2,724.60","2,678.35","2,716.00","2,702.70","2,698.55","24,39,625","6,58,34,51,196.90","1,25,071","15,70,166","64.36"
"LT","EQ","01-Sep-2023","2,702.70","2,710.00","2,715.95","2,688.30","2,705.00","2,702.10","2,703.79","12,63,430","3,41,60,45,543.25","93,775","7,96,524","63.04"
"LT","EQ","04-Sep-2023","2,702.10","2,733.00","2,742.00","2,705.00","2,713.00","2,711.10","2,716.79","15,48,282","4,20,63,62,223.60","95,478","9,73,357","62.87"
"LT","EQ","05-Sep-2023","2,711.10","2,720.50","2,739.00","2,720.00","2,735.00","2,732.95","2,732.22","10,66,447","2,91,37,63,783.05","68,146","7,15,660","67.11"
"LT","EQ","06-Sep-2023","2,732.95","2,740.00","2,742.80","2,712.00","2,731.30","2,730.45","2,726.52","17,47,425","4,76,43,89,224.60","1,00,311","13,09,997","74.97"
"LT","EQ","07-Sep-2023","2,730.45","2,733.00","2,855.95","2,730.00","2,846.10","2,846.40","2,806.61","41,00,519","11,50,85,77,287.35","1,76,598","17,44,045","42.53"
"LT","EQ","08-Sep-2023","2,846.40","2,888.00","2,928.70","2,872.45","2,900.00","2,901.60","2,902.97","36,38,510","10,56,24,94,449.80","1,65,172","15,56,878","42.79"
"LT","EQ","11-Sep-2023","2,901.60","2,905.00","2,926.00","2,890.05","2,896.50","2,894.20","2,908.25","15,45,803","4,49,55,77,385.20","1,16,993","10,08,061","65.21"
"LT","EQ","12-Sep-2023","2,894.20","2,951.60","3,009.00","2,932.45","2,948.50","2,944.10","2,980.82","77,88,759","23,21,68,96,335.55","2,28,017","41,68,770","53.52"
"LT","EQ","13-Sep-2023","2,944.10","2,943.50","2,943.70","2,888.45","2,912.00","2,906.75","2,914.12","24,58,417","7,16,41,31,653.75","1,36,168","16,70,141","67.94"
"LT","EQ","14-Sep-2023","2,906.75","2,924.90","2,931.65","2,906.00","2,914.00","2,918.60","2,917.49","19,10,041","5,57,25,16,827.65","1,31,030","8,60,502","45.05"
"LT","EQ","15-Sep-2023","2,918.60","2,933.00","2,934.95","2,900.00","2,906.95","2,908.55","2,913.25","16,55,275","4,82,22,28,344.00","99,318","10,11,520","61.11"
"LT","EQ","18-Sep-2023","2,908.55","2,910.00","2,930.00","2,907.00","2,920.30","2,919.85","2,920.17","7,36,631","2,15,10,88,308.80","77,082","4,92,362","66.84"
"LT","EQ","20-Sep-2023","2,919.85","2,926.95","2,944.95","2,886.05","2,889.00","2,890.00","2,912.55","13,99,240","4,07,53,60,092.20","99,332","8,74,572","62.50"
"LT","EQ","21-Sep-2023","2,890.00","2,885.05","2,905.10","2,846.05","2,901.60","2,899.35","2,872.38","24,44,711","7,02,21,45,824.05","1,43,950","13,42,072","54.90"
"LT","EQ","22-Sep-2023","2,899.35","2,908.70","2,936.45","2,902.25","2,924.85","2,918.50","2,920.64","19,65,569","5,74,07,25,173.50","1,63,032","12,58,465","64.03"
