"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"POWERGRID","EQ","29-Aug-2023","248.50","249.60","253.00","248.60","251.00","251.15","251.43","92,72,491","2,33,14,27,140.45","82,711","62,31,453","67.20"
"POWERGRID","EQ","30-Aug-2023","251.15","251.30","251.60","246.45","247.40","247.10","248.01","50,61,006","1,25,51,62,478.80","65,122","28,71,433","56.74"
"POWERGRID","EQ","31-Aug-2023","247.10","247.85","249.60","243.55","245.15","244.55","246.03","1,55,36,865","3,82,25,48,431.40","1,29,597","1,11,50,953","71.77"
"POWERGRID","EQ","01-Sep-2023","244.55","247.00","252.60","245.20","252.10","252.20","249.81","98,40,543","2,45,82,37,057.25","1,13,800","58,64,729","59.60"
"POWERGRID","EQ","04-Sep-2023","252.20","253.60","256.50","250.80","255.50","255.40","254.23","76,80,024","1,95,24,73,808.90","80,947","39,86,404","51.91"
"POWERGRID","EQ","05-Sep-2023","255.40","255.30","257.00","253.00","254.40","254.30","254.74","81,69,890","2,08,12,18,805.75","62,690","57,44,701","70.32"
"POWERGRID","EQ","06-Sep-2023","254.30","256.70","257.25","252.15","254.00","254.50","254.23","75,13,855","1,91,02,37,566.20","83,525","45,09,509","60.02"
"POWERGRID","EQ","07-Sep-2023","254.50","254.00","257.70","252.15","257.30","257.00","255.64","1,03,20,340","2,63,82,56,699.15","81,790","63,50,015","61.53"
"POWERGRID","EQ","08-Sep-2023","257.00","258.25","261.30","257.10","258.70","258.65","259.12","1,25,86,314","3,26,13,11,246.75","78,420","71,94,653","57.16"
"POWERGRID","EQ","11-Sep-2023","258.65","260.35","265.00","257.60","264.30","264.50","261.40","1,32,62,855","3,46,69,34,748.35","1,24,968","70,81,311","53.39"
"POWERGRID","EQ","12-Sep-2023","264.50","203.00","204.25","190.65","191.90","191.30","195.28","2,98,26,173","5,82,45,11,623.70","2,56,374","1,50,13,800","50.34"
"POWERGRID","EQ","13-Sep-2023","191.30","193.20","194.60","191.30","193.50","193.20","193.44","1,06,92,151","2,06,82,78,764.25","1,17,887","47,67,364","44.59"
"POWERGRID","EQ","14-Sep-2023","193.20","194.20","195.65","193.70","195.25","195.15","194.63","1,09,41,807","2,12,95,62,103.40","1,05,128","58,53,369","53.50"
"POWERGRID","EQ","15-Sep-2023","195.15","196.15","196.20","192.20","194.10","194.10","194.08","2,05,16,593","3,98,18,13,441.00","1,49,652","1,35,15,943","65.88"
"POWERGRID","EQ","18-Sep-2023","194.10","195.25","200.50","194.10","200.15","200.10","197.52","2,56,27,043","5,06,18,27,701.20","1,12,091","1,77,27,110","69.17"
"POWERGRID","EQ","20-Sep-2023","200.10","198.70","205.95","198.45","204.80","204.65","203.69","3,33,69,524","6,79,71,82,307.65","2,12,188","1,66,69,528","49.95"
"POWERGRID","EQ","21-Sep-2023","204.65","205.00","205.55","200.40","202.15","201.60","202.34","2,03,32,556","4,11,40,42,959.85","1,59,234","1,21,71,471","59.86"
"POWERGRID","EQ","22-Sep-2023","201.60","200.55","202.90","196.40","199.00","199.15","198.54","2,11,93,988","4,20,79,50,818.85","1,67,973","1,21,75,935","57.45"
"POWERGRID","EQ","25-Sep-2023","199.15","200.00","200.65","196.70","199.45","198.90","198.82","1,19,51,847","2,37,63,06,258.55","91,676","71,36,924","59.71"
"POWERGRID","EQ","26-Sep-2023","198.90","199.10","200.05","197.60","198.50","198.35","198.78","74,40,011","1,47,89,47,810.20","69,936","44,96,375","60.44"
"POWERGRID","EQ","27-Sep-2023","198.35","199.30","199.60","197.30","199.35","199.35","198.96","67,36,870","1,34,03,93,392.40","78,032","37,74,732","56.03"
"POWERGRID","EQ","28-Sep-2023","199.35","200.10","204.45","197.80","200.20","200.75","200.49","5,01,85,120","10,06,16,31,711.00","1,29,604","3,31,87,897","66.13"
"POWERGRID","EQ","29-Sep-2023","200.75","200.95","201.90","199.10","200.20","199.75","200.13","1,62,93,959","3,26,09,81,718.10","1,03,601","67,18,063","41.23"
"POWERGRID","EQ","03-Oct-2023","199.75","198.75","200.00","196.90","199.30","199.55","198.71","1,08,30,728","2,15,21,64,418.10","87,263","72,05,271","66.53"
"POWERGRID","EQ","04-Oct-2023","199.55","198.90","199.40","195.40","199.10","199.00","197.83","1,41,20,040","2,79,34,10,970.40","1,23,235","95,18,111","67.41"
"POWERGRID","EQ","05-Oct-2023","199.00","199.50","199.50","195.35","196.60","196.60","196.53","1,45,75,590","2,86,45,73,977.85","1,41,442","81,67,919","56.04"
"POWERGRID","EQ","06-Oct-2023","196.60","197.00","197.45","194.85","196.90","197.05","196.49","1,28,57,229","2,52,63,46,502.40","1,60,650","82,73,173","64.35"
"POWERGRID","EQ","09-Oct-2023","197.05","196.50","196.90","193.75","195.65","196.25","195.37","78,53,369","1,53,43,08,707.75","89,095","47,70,844","60.75"
"POWERGRID","EQ","10-Oct-2023","196.25","196.25","198.55","195.70","198.00","197.95","197.58","74,40,527","1,47,00,84,497.40","84,175","51,37,962","69.05"
"POWERGRID","EQ","11-Oct-2023","197.95","197.35","199.15","197.35","198.70","198.50","198.21","1,00,31,916","1,98,84,17,139.60","78,356","69,14,764","68.93"
"POWERGRID","EQ","12-Oct-2023","198.50","197.35","202.00","197.35","201.05","200.75","199.96","2,18,72,719","4,37,37,51,304.00","1,20,135","1,51,23,290","69.14"
"POWERGRID","EQ","13-Oct-2023","200.75","200.45","202.40","199.30","201.65","201.80","201.34","1,31,05,921","2,63,87,06,458.75","1,07,558","85,97,209","65.60"
"POWERGRID","EQ","16-Oct-2023","201.80","200.30","203.85","200.10","203.05","203.05","201.54","1,83,36,656","3,69,56,50,473.30","96,309","1,46,75,281","80.03"
"POWERGRID","EQ","17-Oct-2023","203.05","203.55","209.00","202.60","207.25","207.15","207.13","1,93,78,328","4,01,37,42,765.45","1,33,943","1,09,96,027","56.74"
"POWERGRID","EQ","18-Oct-2023","207.15","208.45","208.45","204.00","206.45","206.50","205.61","1,49,23,328","3,06,83,44,016.00","95,205","94,16,794","63.10"
"POWERGRID","EQ","19-Oct-2023","206.50","204.00","207.40","202.20","205.50","205.80","205.30","1,31,92,888","2,70,84,42,381.15","1,26,199","69,20,229","52.45"
"POWERGRID","EQ","20-Oct-2023","205.80","205.20","205.20","200.90","203.10","202.85","202.71","2,20,81,120","4,47,60,21,355.75","1,30,666","1,48,65,197","67.32"
"POWERGRID","EQ","23-Oct-2023","202.85","202.00","205.15","199.00","199.50","199.75","202.02","69,88,219","1,41,17,90,826.25","95,537","30,36,974","43.46"
"POWERGRID","EQ","25-Oct-2023","199.75","199.00","200.45","197.80","199.85","199.50","199.47","1,68,17,158","3,35,44,79,996.55","99,320","1,06,79,730","63.50"
"POWERGRID","EQ","26-Oct-2023","199.50","198.75","200.00","196.30","199.80","198.95","198.25","1,10,70,090","2,19,46,16,614.10","1,26,856","61,47,532","55.53"
"POWERGRID","EQ","27-Oct-2023","198.95","199.25","201.80","199.15","200.70","200.95","200.92","99,95,487","2,00,83,22,239.50","75,473","69,57,091","69.60"
"POWERGRID","EQ","30-Oct-2023","200.95","200.95","202.20","197.65","201.15","200.85","199.73","76,79,981","1,53,39,42,143.55","80,255","46,44,087","60.47"
"POWERGRID","EQ","31-Oct-2023","200.85","201.50","202.95","200.55","201.65","202.15","202.01","74,74,770","1,50,99,79,842.90","89,173","49,16,296","65.77"
"POWERGRID","EQ","01-Nov-2023","202.15","202.35","202.35","200.50","200.90","200.95","201.00","55,98,615","1,12,53,43,576.10","63,991","38,88,969","69.46"
"POWERGRID","EQ","02-Nov-2023","200.95","201.75","203.65","200.90","203.50","203.10","202.06","1,29,24,797","2,61,15,66,156.55","1,02,050","79,61,117","61.60"
"POWERGRID","EQ","03-Nov-2023","203.10","203.40","206.50","203.10","204.25","204.40","204.69","86,84,015","1,77,74,97,363.30","77,970","58,92,992","67.86"
"POWERGRID","EQ","06-Nov-2023","204.40","205.00","208.95","204.95","208.00","208.20","207.02","98,04,415","2,02,96,68,833.30","89,914","67,98,288","69.34"
"POWERGRID","EQ","07-Nov-2023","208.20","208.20","209.10","205.75","207.80","208.00","206.95","1,07,30,361","2,22,06,70,759.25","81,220","67,06,614","62.50"
"POWERGRID","EQ","08-Nov-2023","208.00","209.00","209.60","206.65","207.25","207.00","207.59","74,35,543","1,54,35,59,759.45","53,776","43,67,402","58.74"
"POWERGRID","EQ","09-Nov-2023","207.00","207.30","210.50","206.10","210.00","209.80","208.84","1,37,77,877","2,87,73,96,328.30","90,892","80,73,447","58.60"
"POWERGRID","EQ","10-Nov-2023","209.80","210.50","213.00","209.60","211.00","211.15","211.12","1,20,66,023","2,54,73,86,423.30","79,765","64,64,261","53.57"
"POWERGRID","EQ","12-Nov-2023","211.15","213.60","213.70","211.70","211.90","212.00","212.34","10,08,214","21,40,85,341.75","14,439","6,20,817","61.58"
"POWERGRID","EQ","13-Nov-2023","212.00","212.00","215.10","210.70","212.10","212.30","213.28","1,13,52,269","2,42,11,60,245.45","85,644","72,75,970","64.09"
"POWERGRID","EQ","15-Nov-2023","212.30","215.00","215.00","209.80","210.00","210.15","210.89","1,91,82,861","4,04,54,38,475.30","99,834","1,56,27,693","81.47"
"POWERGRID","EQ","16-Nov-2023","210.15","206.70","208.85","205.70","207.40","207.20","207.42","2,75,33,260","5,71,10,55,062.65","1,44,158","2,05,24,398","74.54"
"POWERGRID","EQ","17-Nov-2023","207.20","207.70","210.70","206.90","209.00","209.50","208.85","1,67,05,395","3,48,88,64,099.90","96,027","1,20,81,749","72.32"
"POWERGRID","EQ","20-Nov-2023","209.50","210.10","211.20","208.85","209.50","209.30","209.85","1,11,56,900","2,34,13,27,042.35","86,449","86,43,222","77.47"
"POWERGRID","EQ","21-Nov-2023","209.30","210.00","210.15","207.95","208.85","208.95","209.04","96,08,081","2,00,84,97,900.65","77,454","73,25,372","76.24"
"POWERGRID","EQ","22-Nov-2023","208.95","208.20","212.60","208.20","211.20","211.60","211.42","1,30,79,580","2,76,53,01,476.95","81,160","85,97,417","65.73"
"POWERGRID","EQ","23-Nov-2023","211.60","212.05","213.10","209.25","211.30","210.90","210.92","1,13,82,709","2,40,08,95,551.60","89,247","73,72,917","64.77"
