"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"SBIN","EQ","29-Aug-2023","572.85","573.65","576.30","571.85","575.25","574.85","574.01","1,31,44,855","7,54,53,23,890.40","2,32,951","42,70,158","32.49"
"SBIN","EQ","30-Aug-2023","574.85","576.70","577.70","566.10","567.50","567.40","571.91","1,52,81,416","8,73,96,16,795.90","2,45,036","67,48,751","44.16"
"SBIN","EQ","31-Aug-2023","567.40","569.30","570.30","559.40","562.15","561.35","564.43","2,78,98,476","15,74,66,86,711.25","3,26,854","1,04,48,308","37.45"
"SBIN","EQ","01-Sep-2023","561.35","562.70","571.20","562.10","569.50","569.55","567.55","1,81,21,168","10,28,47,01,912.55","2,60,408","78,28,067","43.20"
"SBIN","EQ","04-Sep-2023","569.55","572.00","576.35","568.45","575.60","575.55","572.87","1,21,08,655","6,93,66,98,350.40","1,95,524","48,50,266","40.06"
"SBIN","EQ","05-Sep-2023","575.55","575.60","578.25","571.35","572.95","573.00","574.05","1,44,44,729","8,29,20,19,922.20","2,47,672","34,89,469","24.16"
"SBIN","EQ","06-Sep-2023","573.00","574.25","574.25","568.00","570.95","570.50","570.55","2,06,09,936","11,75,91,00,652.10","3,37,013","56,86,645","27.59"
"SBIN","EQ","07-Sep-2023","570.50","568.00","581.00","568.00","580.60","579.05","575.60","1,23,90,597","7,13,20,78,107.95","1,80,550","48,28,758","38.97"
"SBIN","EQ","08-Sep-2023","579.05","581.00","588.50","579.70","583.40","583.45","584.57","1,40,32,068","8,20,27,79,359.95","2,05,241","58,66,967","41.81"
"SBIN","EQ","11-Sep-2023","583.45","587.00","592.30","585.35","591.25","591.70","590.12","1,09,46,134","6,45,95,50,843.30","2,71,751","52,29,717","47.78"
"SBIN","EQ","12-Sep-2023","591.70","593.65","594.25","584.65","587.60","588.35","588.44","1,60,93,060","9,46,98,53,287.90","2,54,109","60,92,579","37.86"
"SBIN","EQ","13-Sep-2023","588.35","588.40","598.00","583.45","596.35","596.45","592.24","1,93,77,172","11,47,59,63,581.80","2,79,643","59,23,422","30.57"
"SBIN","EQ","14-Sep-2023","596.45","598.45","603.70","595.20","596.60","597.30","598.77","1,31,78,911","7,89,11,38,917.75","2,60,528","50,30,891","38.17"
"SBIN","EQ","15-Sep-2023","597.30","599.35","600.70","595.20","598.05","598.80","598.23","1,17,56,389","7,03,30,62,065.15","1,82,595","55,51,889","47.22"
"SBIN","EQ","18-Sep-2023","598.80","598.80","608.40","597.05","603.00","603.95","605.18","1,93,05,055","11,68,30,85,228.80","3,36,027","62,99,800","32.63"
"SBIN","EQ","20-Sep-2023","603.95","600.85","606.80","599.40","601.00","601.10","602.78","2,13,14,600","12,84,80,60,287.55","3,51,772","80,03,748","37.55"
"SBIN","EQ","21-Sep-2023","601.10","600.00","606.60","584.65","587.90","588.15","593.29","2,34,53,425","13,91,46,25,160.45","4,25,490","83,08,765","35.43"
"SBIN","EQ","22-Sep-2023","588.15","593.50","602.00","591.40","598.70","598.15","598.12","1,87,84,139","11,23,52,13,845.05","2,95,166","65,36,792","34.80"
"SBIN","EQ","25-Sep-2023","598.15","601.50","601.50","590.45","593.95","594.05","594.79","97,12,784","5,77,71,09,828.20","2,62,285","34,97,893","36.01"
"SBIN","EQ","26-Sep-2023","594.05","594.00","595.00","591.25","594.45","594.40","593.80","83,27,427","4,94,48,09,375.45","1,85,873","28,88,462","34.69"
"SBIN","EQ","27-Sep-2023","594.40","593.45","594.30","588.20","590.00","589.75","590.74","98,65,347","5,82,78,26,886.25","2,32,626","52,84,601","53.57"
"SBIN","EQ","28-Sep-2023","589.75","591.25","595.20","588.85","590.50","589.95","591.37","2,19,60,816","12,98,69,61,371.85","2,87,488","97,46,149","44.38"
