"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"POWERGRID","EQ","29-Jul-2024","344.20","339.80","345.90","337.75","342.80","342.35","341.39","3,18,49,674","10,87,31,55,666.50","1,63,414","2,06,75,613","64.92"
"POWERGRID","EQ","30-Jul-2024","342.35","345.00","356.95","343.30","349.50","349.80","353.17","2,58,13,219","9,11,64,96,855.00","2,89,603","1,25,47,954","48.61"
"POWERGRID","EQ","31-Jul-2024","349.80","348.25","350.65","342.60","349.20","348.20","347.16","1,79,76,593","6,24,07,89,824.90","1,37,801","1,09,70,681","61.03"
"POWERGRID","EQ","01-Aug-2024","348.20","351.15","362.50","350.15","361.50","361.10","359.41","2,67,92,459","9,62,94,46,030.85","2,25,359","1,24,56,636","46.49"
"POWERGRID","EQ","02-Aug-2024","361.10","358.00","361.05","354.00","357.60","358.25","357.25","1,37,71,470","4,91,98,46,739.35","1,41,022","68,90,968","50.04"
"POWERGRID","EQ","05-Aug-2024","358.25","352.75","354.80","341.50","342.85","342.80","345.76","1,35,66,586","4,69,07,77,726.35","1,56,750","65,07,592","47.97"
"POWERGRID","EQ","06-Aug-2024","342.80","342.80","350.80","339.25","341.70","340.75","343.88","1,22,73,667","4,22,06,32,772.15","1,23,331","63,10,598","51.42"
"POWERGRID","EQ","07-Aug-2024","340.75","345.85","352.55","343.40","351.65","352.05","348.94","1,24,41,847","4,34,14,60,723.50","1,31,819","67,93,815","54.60"
"POWERGRID","EQ","08-Aug-2024","352.05","355.00","355.00","341.25","343.15","342.65","344.70","1,54,89,731","5,33,92,44,233.60","1,86,783","83,51,251","53.91"
"POWERGRID","EQ","09-Aug-2024","342.65","347.90","348.95","344.30","345.30","346.00","346.38","87,20,610","3,02,06,66,465.00","1,44,281","52,59,262","60.31"
"POWERGRID","EQ","12-Aug-2024","346.00","343.00","343.80","339.50","341.20","341.15","341.96","1,25,21,136","4,28,17,83,953.30","1,14,657","82,69,802","66.05"
"POWERGRID","EQ","13-Aug-2024","341.15","337.00","342.45","335.15","335.80","336.95","338.90","1,04,35,954","3,53,67,33,917.35","1,21,895","64,23,730","61.55"
"POWERGRID","EQ","14-Aug-2024","336.95","337.00","338.35","332.50","333.30","333.50","334.72","1,23,85,993","4,14,58,72,442.35","1,00,734","81,65,980","65.93"
"POWERGRID","EQ","16-Aug-2024","333.50","333.00","339.55","330.60","339.00","338.60","335.62","1,30,13,828","4,36,76,72,205.00","1,19,400","74,65,835","57.37"
"POWERGRID","EQ","19-Aug-2024","338.60","342.65","343.30","339.30","340.70","340.30","341.37","58,91,370","2,01,11,55,552.45","80,586","32,97,348","55.97"
"POWERGRID","EQ","20-Aug-2024","340.30","340.45","342.65","338.80","340.75","340.50","340.72","63,93,840","2,17,85,34,493.75","65,261","41,31,668","64.62"
"POWERGRID","EQ","21-Aug-2024","340.50","340.00","340.95","336.15","337.25","336.65","338.39","1,01,18,601","3,42,40,79,784.35","1,05,780","73,66,362","72.80"
"POWERGRID","EQ","22-Aug-2024","336.65","336.00","337.70","330.50","333.95","334.00","333.29","1,83,70,039","6,12,25,62,051.55","1,64,072","1,18,69,961","64.62"
"POWERGRID","EQ","23-Aug-2024","334.00","334.65","336.95","333.35","336.20","336.25","335.39","74,94,822","2,51,36,65,341.10","85,600","47,05,048","62.78"
"POWERGRID","EQ","26-Aug-2024","336.25","336.45","341.50","335.85","338.50","338.25","339.44","79,93,675","2,71,33,53,911.30","87,241","41,92,125","52.44"
"POWERGRID","EQ","27-Aug-2024","338.25","339.00","341.45","335.00","335.50","335.35","338.16","95,89,690","3,24,28,51,369.75","65,090","59,96,875","62.53"
"POWERGRID","EQ","28-Aug-2024","335.35","335.35","338.90","333.75","334.40","334.45","336.24","87,90,600","2,95,57,81,944.45","94,864","51,11,288","58.14"
"POWERGRID","EQ","29-Aug-2024","334.45","332.50","335.90","328.80","335.00","333.30","332.17","1,76,53,536","5,86,39,21,380.75","2,54,812","1,02,24,947","57.92"
"POWERGRID","EQ","30-Aug-2024","333.30","335.00","340.85","334.05","338.00","337.40","338.07","2,27,13,812","7,67,89,42,166.60","1,46,858","1,47,71,398","65.03"
"POWERGRID","EQ","02-Sep-2024","337.40","338.40","339.90","334.20","335.95","335.55","336.48","97,89,776","3,29,40,80,894.40","1,11,933","65,51,065","66.92"
"POWERGRID","EQ","03-Sep-2024","335.55","336.00","337.95","334.00","334.50","334.65","335.90","84,34,423","2,83,31,48,693.85","1,04,930","58,59,557","69.47"
"POWERGRID","EQ","04-Sep-2024","334.65","331.20","334.70","331.00","332.80","332.90","332.93","90,25,610","3,00,48,81,081.35","97,931","66,49,113","73.67"
"POWERGRID","EQ","05-Sep-2024","332.90","332.35","334.30","329.60","330.25","331.25","332.26","1,39,12,371","4,62,25,28,285.80","1,35,931","99,50,045","71.52"
